"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Alabama,Baldwin County,182265,ND,ND,ND,ND,0.074,ND,10.2,20,ND,ND,ND
Alabama,Clay County,13932,ND,ND,ND,ND,ND,ND,10.5,22,ND,ND,ND
Alabama,Colbert County,54428,ND,ND,ND,ND,0.068,ND,10.5,19,ND,ND,ND
Alabama,DeKalb County,71109,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Alabama,Elmore County,79303,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Alabama,Escambia County,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Alabama,Etowah County,104430,ND,ND,ND,ND,0.065,ND,11.8,24,ND,ND,ND
Alabama,Houston County,101547,ND,ND,ND,ND,0.067,ND,IN,IN,ND,ND,ND
Alabama,Jefferson County,658466,2,ND,ND,ND,0.077,128,13.8,29,1.697,6.8,33
Alabama,Madison County,334811,ND,ND,ND,ND,0.071,37,11.6,20,ND,ND,ND
Alabama,Mobile County,412992,ND,ND,ND,ND,0.077,72,9.8,18,ND,ND,ND
Alabama,Montgomery County,229363,ND,ND,ND,ND,0.072,61,10.8,21,ND,ND,ND
Alabama,Morgan County,119490,ND,ND,ND,ND,0.07,ND,11.2,19,ND,ND,ND
Alabama,Pike County,32899,ND,0.89,ND,ND,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,52947,ND,ND,ND,ND,0.069,ND,13.1,26,ND,ND,ND
Alabama,Shelby County,195085,ND,ND,ND,ND,0.074,ND,IN,IN,ND,ND,ND
Alabama,Sumter County,13763,ND,ND,ND,ND,0.067,ND,IN,IN,ND,ND,ND
Alabama,Talladega County,82291,ND,ND,ND,ND,ND,ND,11.7,21,ND,ND,ND
Alabama,Tuscaloosa County,194656,ND,ND,ND,ND,0.06,ND,11,22,ND,ND,ND
Alabama,Walker County,67023,ND,ND,ND,ND,ND,ND,11.3,19,ND,ND,ND
Alaska,Anchorage Municipality,291826,6,ND,ND,ND,0.045,98,5.5,20,ND,ND,ND
Alaska,Denali Borough,1826,ND,ND,ND,ND,0.052,ND,IN,IN,ND,ND,ND
Alaska,Fairbanks North Star Borough,97581,IN,ND,ND,ND,ND,ND,13,52,ND,ND,ND
Alaska,Juneau City and Borough,31275,ND,ND,ND,ND,ND,27,7,19,ND,ND,ND
Alaska,Ketchikan Gateway Borough,13477,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Alaska,Matanuska-Susitna Borough,88995,ND,ND,ND,ND,ND,45,IN,38,ND,ND,ND
Alaska,Northwest Arctic Borough,7523,ND,IN,ND,ND,ND,ND,ND,ND,ND,ND,ND
Arizona,Apache County,71518,ND,ND,ND,ND,ND,40,ND,ND,ND,ND,ND
Arizona,Cochise County,131346,ND,ND,ND,ND,0.071,83,6.8,14,ND,ND,ND
Arizona,Coconino County,134421,ND,ND,ND,ND,0.069,106,5.1,10,ND,ND,ND
Arizona,Gila County,53597,ND,ND,ND,ND,0.07,88,IN,IN,9.712,44.1,314
Arizona,La Paz County,20489,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
Arizona,Maricopa County,3817117,3,IN,24.524,68,0.079,135,9.2,24,1.742,5.3,10
Arizona,Mohave County,200186,ND,ND,ND,ND,ND,33,IN,IN,ND,ND,ND
Arizona,Navajo County,107449,ND,ND,ND,ND,0.068,33,ND,ND,ND,ND,ND
Arizona,Pima County,980263,1,ND,11.598,46.2,0.069,186,5.2,12,0.532,1.4,10
Arizona,Pinal County,375770,ND,ND,ND,ND,0.073,226,12.4,27,ND,ND,ND
Arizona,Santa Cruz County,47420,ND,ND,ND,ND,ND,177,10.3,32,ND,ND,ND
Arizona,Yavapai County,211033,ND,ND,ND,ND,0.067,31,3.9,7,ND,ND,ND
Arizona,Yuma County,195751,ND,ND,ND,ND,0.076,113,7.4,14,ND,ND,ND
Arkansas,Arkansas County,19019,ND,ND,ND,ND,ND,ND,11.4,23,ND,ND,ND
Arkansas,Ashley County,21853,ND,ND,ND,ND,ND,ND,11.1,20,ND,ND,ND
Arkansas,Craighead County,96443,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Crittenden County,50902,ND,ND,10.282,51,0.078,ND,11.8,23,ND,ND,ND
Arkansas,Faulkner County,113237,ND,ND,ND,ND,ND,ND,11,19,ND,ND,ND
Arkansas,Garland County,96024,ND,ND,ND,ND,ND,ND,11,21,ND,ND,ND
Arkansas,Jackson County,17997,ND,ND,ND,ND,ND,ND,11,23,ND,ND,ND
Arkansas,Jefferson County,77435,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Marion County,16653,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Miller County,43462,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Mississippi County,46480,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Newton County,8330,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Arkansas,Phillips County,21757,ND,ND,ND,ND,ND,ND,11.5,21,ND,ND,ND
Arkansas,Polk County,20662,ND,ND,ND,ND,0.073,ND,11,22,ND,ND,ND
Arkansas,Pope County,61754,ND,ND,ND,ND,ND,ND,11.3,22,ND,ND,ND
Arkansas,Pulaski County,382748,2,ND,9.982,51,0.073,38,12.6,23,1.698,3.7,9
Arkansas,Sebastian County,125744,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Union County,41639,ND,ND,ND,ND,ND,ND,11.6,21,2.022,4.4,26
Arkansas,Van Buren County,17295,ND,ND,ND,ND,0.058,ND,ND,ND,ND,ND,ND
Arkansas,Washington County,203065,ND,ND,ND,ND,0.067,ND,11.1,23,ND,ND,ND
Arkansas,White County,77076,ND,ND,ND,ND,ND,ND,11.6,21,ND,ND,ND
California,Alameda County,1510271,2,ND,15.598,54,0.074,40,7.8,27,0.951,3.4,9.6
California,Amador County,38091,ND,ND,ND,ND,0.075,ND,ND,ND,ND,ND,ND
California,Butte County,220000,2,ND,7.214,32,0.076,32,8,29,ND,ND,ND
California,Calaveras County,45578,ND,ND,ND,ND,0.079,23,IN,IN,ND,ND,ND
California,Colusa County,21419,ND,ND,ND,ND,0.06,48,IN,IN,ND,ND,ND
California,Contra Costa County,1049025,1,ND,8.323,31.6,0.078,45,7.1,27,1.188,5.7,15.3
