STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Alabama,AL,1990,138.85,113.06,20.34,4.81,0.63,126.36,50.59,3.18,2.44,26.41,29.60,14.14,3.56,5.59,3.34,34.28,
Alaska,AK,1990,45.50,35.88,9.31,0.27,0.05,44.03,2.61,1.60,2.21,15.85,12.30,9.46,1.10,0.05,0.32,82.23,
Arizona,AZ,1990,70.36,63.26,3.44,2.83,0.82,64.52,32.68,1.88,1.91,3.89,24.08,0.08,1.15,3.36,1.32,19.10,
Arkansas,AR,1990,67.01,52.25,7.70,6.77,0.29,53.02,21.70,2.53,1.62,9.57,16.88,0.71,1.21,11.24,1.55,28.44,
California,CA,1990,422.29,369.68,30.80,18.96,2.84,379.88,40.30,30.00,19.05,73.10,212.90,4.52,8.02,21.33,13.07,14.10,
Colorado,CO,1990,82.33,65.89,11.19,4.87,0.38,72.85,31.43,5.38,4.00,5.61,20.11,6.33,0.74,7.98,0.77,24.89,
Connecticut,CT,1990,44.12,41.38,1.31,1.13,0.29,41.81,10.98,8.24,3.82,3.17,15.61,0.00,0.33,0.29,1.69,13.40,
Delaware,DE,1990,19.26,17.98,0.39,0.80,0.09,18.13,7.52,1.08,0.58,4.19,4.77,0.00,0.09,0.61,0.43,28.77,
District Of Columbia,DC,1990,4.75,4.45,0.07,0.13,0.10,4.58,0.41,0.93,1.24,0.04,1.96,0.00,0.11,0.00,0.06,7.85,
Florida,FL,1990,210.75,189.95,11.63,7.63,1.54,192.00,85.56,1.68,6.25,12.99,85.41,0.10,2.96,6.76,9.03,16.17,
Georgia,GA,1990,152.05,140.05,5.83,5.31,0.85,142.21,61.76,5.87,3.88,19.55,51.15,0.00,1.89,4.89,3.06,23.35,
Hawaii,HI,1990,23.23,21.52,1.00,0.62,0.09,21.73,7.34,0.05,0.76,2.12,11.47,0.00,0.20,0.61,0.68,20.87,
Idaho,ID,1990,18.74,11.77,3.49,3.21,0.27,11.81,0.00,0.81,0.81,3.50,6.69,0.00,0.64,5.85,0.44,18.51,
Illinois,IL,1990,236.32,197.45,18.87,18.81,1.18,203.30,56.92,25.73,12.56,46.14,57.27,4.68,3.63,19.42,9.96,20.63,
Indiana,IN,1990,228.55,207.93,7.75,11.56,1.31,209.48,95.40,9.75,5.48,54.78,42.79,1.28,3.53,11.89,3.65,41.12,
Iowa,IA,1990,96.54,65.70,11.83,18.70,0.31,65.11,26.79,5.05,3.20,12.94,17.12,0.01,1.98,27.57,1.88,34.71,
Kansas,KS,1990,96.18,72.23,12.94,10.72,0.29,74.82,27.24,4.13,3.23,16.12,20.13,3.96,2.69,17.34,1.33,38.76,
