region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
alabama,baldwin,182265,NA,NA,NA,NA,0.074,NA,10.2,20,NA,NA,NA
alabama,clay,13932,NA,NA,NA,NA,NA,NA,10.5,22,NA,NA,NA
alabama,colbert,54428,NA,NA,NA,NA,0.068,NA,10.5,19,NA,NA,NA
alabama,dekalb,71109,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
alabama,elmore,79303,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
alabama,escambia,38319,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
alabama,etowah,104430,NA,NA,NA,NA,0.065,NA,11.8,24,NA,NA,NA
alabama,houston,101547,NA,NA,NA,NA,0.067,NA,IN,IN,NA,NA,NA
alabama,jefferson,658466,2,NA,NA,NA,0.077,128,13.8,29,1.697,6.8,33
alabama,madison,334811,NA,NA,NA,NA,0.071,37,11.6,20,NA,NA,NA
alabama,mobile,412992,NA,NA,NA,NA,0.077,72,9.8,18,NA,NA,NA
alabama,montgomery,229363,NA,NA,NA,NA,0.072,61,10.8,21,NA,NA,NA
alabama,morgan,119490,NA,NA,NA,NA,0.07,NA,11.2,19,NA,NA,NA
alabama,pike,32899,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,russell,52947,NA,NA,NA,NA,0.069,NA,13.1,26,NA,NA,NA
alabama,shelby,195085,NA,NA,NA,NA,0.074,NA,IN,IN,NA,NA,NA
alabama,sumter,13763,NA,NA,NA,NA,0.067,NA,IN,IN,NA,NA,NA
alabama,talladega,82291,NA,NA,NA,NA,NA,NA,11.7,21,NA,NA,NA
alabama,tuscaloosa,194656,NA,NA,NA,NA,0.06,NA,11,22,NA,NA,NA
alabama,walker,67023,NA,NA,NA,NA,NA,NA,11.3,19,NA,NA,NA
alaska,anchorage municipality,291826,6,NA,NA,NA,0.045,98,5.5,20,NA,NA,NA
alaska,denali borough,1826,NA,NA,NA,NA,0.052,NA,IN,IN,NA,NA,NA
alaska,fairbanks north star borough,97581,IN,NA,NA,NA,NA,NA,13,52,NA,NA,NA
alaska,juneau city and borough,31275,NA,NA,NA,NA,NA,27,7,19,NA,NA,NA
alaska,ketchikan gateway borough,13477,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
alaska,matanuska-susitna borough,88995,NA,NA,NA,NA,NA,45,IN,38,NA,NA,NA
alaska,northwest arctic borough,7523,NA,IN,NA,NA,NA,NA,NA,NA,NA,NA,NA
arizona,apache,71518,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA
arizona,cochise,131346,NA,NA,NA,NA,0.071,83,6.8,14,NA,NA,NA
arizona,coconino,134421,NA,NA,NA,NA,0.069,106,5.1,10,NA,NA,NA
arizona,gila,53597,NA,NA,NA,NA,0.07,88,IN,IN,9.712,44.1,314
arizona,la paz,20489,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
arizona,maricopa,3817117,3,IN,24.524,68,0.079,135,9.2,24,1.742,5.3,10
