"State","County","STATE_FIPS","COUNTY_FIPS","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Mean 24-hr"
"CA","Alameda","06","001","2.7","1.7","54","0.1","0.074","10","3","27","8.5","40","20","0.02"
"CA","Amador","06","005",".",".",".","0.09","0.075",".",".",".",".",".",".","."
"CA","Butte","06","007","2.3","1.6","32","0.08","0.076",".",".","29","8","32","16","0"
"CA","Calaveras","06","009",".",".",".","0.1","0.079",".",".","16","7.5","23","11","."
"CA","Colusa","06","011",".",".",".","0.07","0.06",".",".","17","5","48","17","."
"CA","Contra Costa","06","013","1.6","0.9","39","0.1","0.078","20","6","27","7.1","45","18","."
"CA","Del Norte","06","015",".",".",".",".",".",".",".",".",".","35","15","."
"CA","El Dorado","06","017",".",".",".","0.1","0.081",".",".",".",".",".",".","."
"CA","Fresno","06","019","2.9","2","54","0.13","0.103","7","3","49","14.7","67","31","0.08"
"CA","Glenn","06","021",".",".",".","0.07","0.061",".",".",".",".","40","16","."
"CA","Humboldt","06","023","1.1","0.8","19","0.05","0.045","3","3","18","5.6","61","18","."
"CA","Imperial","06","025","17.4","4.4","68","0.11","0.078","7","3","32","12.8","89","37","0.03"
"CA","Inyo","06","027",".",".",".","0.08","0.069",".",".","29","7.5","2519","56","."
"CA","Kern","06","029","1.6","0.8","63","0.14","0.1",".",".","62","40.1","109","39","0"
"CA","Kings","06","031",".",".","55","0.13","0.103",".",".","51","19.5","120","40","."
"CA","Lake","06","033",".",".",".","0.07","0.056",".",".","6","3.1",".",".","."
"CA","Los Angeles","06","037","5.5","3.6","73","0.12","0.09","16","5","38","17.3","71","34","0.3"
"CA","Madera","06","039",".",".","34","0.11","0.09",".",".","51","20.5","111","42","."
"CA","Marin","06","041","1.6","1","42","0.08","0.053",".",".","31","10.7","31","16","."
"CA","Mariposa","06","043",".",".",".","0.1","0.077",".",".",".",".","58","22","."
"CA","Mendocino","06","045",".",".",".","0.09","0.047",".",".","18","7.7","57","21","."
"CA","Merced","06","047",".",".","38","0.12","0.09",".",".","40","16.3","53","25","."
"CA","Mono","06","051",".",".",".",".",".",".",".",".",".","3096","61","."
"CA","Monterey","06","053","1.3","0.8","31","0.08","0.064",".",".","14","6.6","51","20","."
"CA","Napa","06","055","2","1.2","34","0.09","0.067",".",".",".",".","34","17","."
"CA","Nevada","06","057",".",".","20","0.09","0.079",".",".","14","5.5",".",".","."
"CA","Orange","06","059","3.2","1.9","62","0.11","0.071","6","2","31","14.9","55","25","."
"CA","Placer","06","061",".",".","54","0.1","0.085",".",".","20","6.6","33","15","0.11"
"CA","Plumas","06","063",".",".",".",".",".",".",".","36","9.7",".",".","."
"CA","Riverside","06","065","2.3","1.8","57","0.13","0.099","10","4","41","20.9","312","60","0.01"
"CA","Sacramento","06","067","2.2","1.9","52","0.12","0.096","3","2","27","8.7","54","21","."
"CA","San Benito","06","069",".",".",".","0.09","0.071",".",".","13","5.7","30","13","."
"CA","San Bernardino","06","071","13.2","4.3","65","0.14","0.109","11","7","31","13","82","34","0.01"
"CA","San Diego","06","073","3.8","2.4","74","0.11","0.081","18","7","114","15.3","101","46","0.04"
"CA","San Francisco","06","075","1.7","1","77","0.07","0.046",".",".","24","10.5","36","19","0"
"CA","San Joaquin","06","077","2.4","1.2","49","0.11","0.075",".",".","44","17.6","49","19","0"
"CA","San Luis Obispo","06","079",".",".","36","0.1","0.083","4","1","24","10","133","37","."
"CA","San Mateo","06","081","3","1.7","45","0.1","0.056",".",".","33","8.3",".",".","."
"CA","Santa Barbara","06","083","2.8","1","43","0.09","0.075","5","3","20","10","51","20","."
"CA","Santa Clara","06","085","2.6","1.8","51","0.11","0.08","7","2","29","8.8","37","18","0"
"CA","Santa Cruz","06","087","0.7","0.6","12","0.08","0.054",".",".","13","6.5","30","14","."
"CA","Shasta","06","089",".",".",".","0.09","0.074",".",".","10","4.6","29","15","."
"CA","Siskiyou","06","093",".",".",".","0.07","0.059",".",".","11","4.5","19","10","."
"CA","Solano","06","095","2.6","1.9","39","0.1","0.07","7","2","23","7.7","32","12","."
"CA","Sonoma","06","097","1.8","1.1","35","0.07","0.054",".",".","22","7.2","30","11","."
"CA","Stanislaus","06","099","2.3","1.8","39","0.11","0.087",".",".","44","12.7","68","24","."
"CA","Sutter","06","101",".",".","45","0.09","0.068",".",".","17","5.9","38","16","."
"CA","Tehama","06","103",".",".",".","0.09","0.077",".",".","21","9.8","38","18","."
"CA","Trinity","06","105",".",".",".",".",".",".",".",".",".","32","13","."
"CA","Tulare","06","107",".",".","56","0.11","0.096",".",".","36","13.6","71","34","."
"CA","Tuolumne","06","109",".",".",".","0.1","0.072",".",".",".",".",".",".","."
"CA","Ventura","06","111",".",".","41","0.1","0.082",".",".","21","8.7","45","21","0"
"CA","Yolo","06","113",".",".","31","0.08","0.069",".",".","19","5.7","49","18","."
