"State","County","STATE_FIPS","COUNTY_FIPS","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Mean 24-hr"
"FL","Alachua","12","001",".",".",".","0.08","0.069",".",".","21","8.8",".",".","."
"FL","Baker","12","003",".",".",".","0.07","0.065",".",".",".",".",".",".","."
"FL","Bay","12","005",".",".",".","0.09","0.072",".",".",".",".",".",".","."
"FL","Brevard","12","009",".",".",".","0.07","0.064","7","3","14","6.9","51","14","."
"FL","Broward","12","011","2.3","1.6","49","0.08","0.062","38","6","14","7","32","15","."
"FL","Citrus","12","017",".",".",".",".",".",".",".","16","7.6",".",".","."
"FL","Collier","12","021",".",".",".","0.07","0.059",".",".",".",".",".",".","."
"FL","Columbia","12","023",".",".",".","0.08","0.068",".",".",".",".",".",".","."
"FL","Duval","12","031","2.2","1.9","44","0.09","0.068","22","5","20","9.4","62","22","."
"FL","Escambia","12","033",".",".","37","0.09","0.074","45","13","19","9.6",".",".","."
"FL","Hamilton","12","047",".",".",".",".",".","21","4",".",".",".",".","."
"FL","Highlands","12","055",".",".",".","0.08","0.066",".",".",".",".",".",".","."
"FL","Hillsborough","12","057","1","0.9","40","0.09","0.072","104","29","16","10.1","62","22","0.34"
"FL","Holmes","12","059",".",".",".","0.07","0.065",".",".",".",".",".",".","."
"FL","Lake","12","069",".",".",".","0.09","0.066",".",".",".",".",".",".","."
"FL","Lee","12","071",".",".",".","0.07","0.065",".",".","19","7","67","16","."
"FL","Leon","12","073",".",".",".","0.08","0.065",".",".","24","9.9",".",".","."
"FL","Manatee","12","081",".",".",".","0.09","0.068",".",".",".",".",".",".","."
"FL","Marion","12","083",".",".",".","0.08","0.068",".",".",".",".",".",".","."
"FL","Martin","12","085",".",".",".","0.07","0.059",".",".",".",".",".",".","."
"FL","Miami-Dade","12","086","2.6","1.4","47","0.08","0.069","1","0","13","8","44","24","."
"FL","Nassau","12","089",".",".",".",".",".","216","58",".",".",".",".","."
"FL","Okaloosa","12","091",".",".",".","0.09","0.069",".",".",".",".",".",".","."
"FL","Orange","12","095","1.7","1.3","40","0.09","0.071","7","2","16","7.8","35","17","."
"FL","Osceola","12","097",".",".",".","0.09","0.067",".",".",".",".",".",".","."
"FL","Palm Beach","12","099",".",".","46","0.08","0.066","8","4","17","8.5","35","20","."
"FL","Pasco","12","101",".",".",".","0.08","0.067",".",".",".",".",".",".","."
"FL","Pinellas","12","103","1.9","1.1","38","0.08","0.067","34","6","17","8.1","41","21","."
"FL","Polk","12","105",".",".",".","0.08","0.068",".",".","16","8.1","51","16","."
"FL","Putnam","12","107",".",".",".",".",".","33","5",".",".","58","18","."
"FL","Santa Rosa","12","113",".",".",".","0.1","0.074",".",".",".",".",".",".","."
"FL","Sarasota","12","115",".",".","24","0.08","0.07",".",".","26","7.1","59","19","."
"FL","Seminole","12","117",".",".",".","0.07","0.067",".",".","17","8.8","46","15","."
"FL","St. Lucie","12","111",".",".",".","0.07","0.061",".",".","15","8.1",".",".","."
"FL","Volusia","12","127",".",".",".","0.07","0.066",".",".","17","7.5","45","15","."
"FL","Wakulla","12","129",".",".",".","0.08","0.068",".",".",".",".",".",".","."
